Row,Regex1,Regex2,IsEquivalent,SimilarityScore
84,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
85,(2025(04(30|29|28|27|26|25|24|23|22|21)|05(02|01))),^\d{4}\d{2}\d{2}$,False,0.05882352941176472
86,"^([a-zA-Z]{2,6}[ ,.!?;:'""…]*){2,7}[a-zA-Z]{2,6}[.!?;:'""…]?$","^([a-zA-Z]{2,6}[ ,.!?;:'""…]*){2,7}[a-zA-Z]{2,6}[.!?;:'""…]?$",True,1.0
87,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
88,"^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
89,"^.{6,10}ayvw$","^.{6,10}ayvw$",True,1.0
90,"^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){3,8}[a-zA-Z]{1,9}[.!?;:'""…]?$","^([a-zA-Z]{1,9}[ ,.!?;:'""…]*){3,8}[a-zA-Z]{1,9}[.!?;:'""…]?$",True,1.0
91,"^\d{1,10}$","^\d{1,10}$",True,1.0
92,"^hsl$$1,\s*$2%,\s*$3%$$","^([a-zA-Z]+)\s*hsl\((\d{1,3}),\s*(\d{1,3})%,\s*(\d{1,3})%\)$",False,0.2833333333333333
93,^\d{8}$,^\d{8}$,True,1.0
94,"^\d{3,15}$","^\d{3,15}$",True,1.0
95,^#[0-9A-Fa-f]{6}$,^#[0-9a-fA-F]{6}$,False,0.7647058823529411
96,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.12048192771084343
97,\w+,\w+,True,1.0
98,\w+,\w+,True,1.0
99,^\d{2}$,^\d{2}$,True,1.0
100,^\d{10}$,^\d{10}$,True,1.0
101,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06)|05(02|01))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.15625
102,"^\d{5,8}$","^\d{5,8}$",True,1.0
103,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27))),^\d{8}$,False,0.007692307692307665
104,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
105,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29))),无直接正则表达式实现，需结合当前日期计算,False,0.0
106,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
107,^[a-zA-Z]{1}$,^[a-zA-Z]{1}$,True,1.0
108,^uyh.*vwdkengn.*$,^uyh.*vwdkengn.*$,True,1.0
109,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.10552763819095479
110,^xhsvdy.*,^xhsvdy.*,True,1.0
111,"^.{6,12}ngrj$","^.{6,12}ngrj$",True,1.0
112,"^\d{8,14}$","^\d{8,14}$",True,1.0
113,"^([a-zA-Z]+[ ,.!?;:'""…]*){8}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){8}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
114,^.*example.*$,.*example.*,True,1.0
115,.*tsyy$,.*tsyy$,True,1.0
116,"^.{1,3}wmilefoj$","^.{1,3}wmilefoj$",True,1.0
117,"^\d{6,}$","^\d{6,}$",True,1.0
118,.*kfqjf$,.*kfqjf$,True,1.0
119,"^[a-zA-Z0-9]{3,9}$","^[a-zA-Z0-9]{3,9}$",True,1.0
120,^[^\d]*$,^[^\d]*$,True,1.0
121,.*ylhlj$,.*ylhlj$,True,1.0
122,^[^\d]*$,^[^\d]*$,True,1.0
123,^\d+\.\d+$,^\d+\.\d+$,True,1.0
124,"^\d{5,13}$","^\d{5,13}$",True,1.0
125,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
126,"^([a-zA-Z]{2,6}[ ,.!?;:'""…]*){4,8}[a-zA-Z]{2,6}[.!?;:'""…]?$","^([a-zA-Z]{2,6}[ ,.!?;:'""…]*){4,8}[a-zA-Z]{2,6}[.!?;:'""…]?$",True,1.0
127,\d+,\d+,True,1.0
128,^.*record.*$,.*record.*,True,1.0
129,"^\d{6,9}$","^\d{6,9}$",True,1.0
130,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11428571428571432
131,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26))),^(?=\d{8}$)\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.1278195488721805
132,^rjlcwha.*jdyndf.*$,^rjlcwha.*jdyndf.*$,True,1.0
133,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.1351351351351351
134,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11811023622047245
135,"^\d{1,5}$","^\d{1,5}$",True,1.0
136,"^[a-z]{5,10}$","^[a-z]{5,10}$",True,1.0
137,"^\d{2,10}$","^\d{2,10}$",True,1.0
138,"^\d{5,13}$","^\d{5,13}$",True,1.0
139,"^[a-zA-Z0-9]{3,4}$","^[a-zA-Z0-9]{3,4}$",True,1.0
140,"^([a-zA-Z]{1,5}[ ,.!?;:'""…]*){4,6}[a-zA-Z]{1,5}[.!?;:'""…]?$","^([a-zA-Z]{1,5}[ ,.!?;:'""…]*){4,6}[a-zA-Z]{1,5}[.!?;:'""…]?$",True,1.0
141,"^[a-z]{5,9}$","^[a-z]{5,9}$",True,1.0
142,^.*log.*$,.*log.*,True,1.0
143,"^.{0,4}kfddrbpj$","^.{0,4}kfddrbpj$",True,1.0
144,^(?=.*aeqqtm)(?=.*wmkrgc).*$,^(?=.*aeqqtm)(?=.*wmkrgc).*$,True,1.0
145,^.*file.*$,.*file.*,True,1.0
146,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
147,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16)|05(02|01))),^\d{4}\d{2}\d{2}$,False,0.045454545454545414
148,"^\d{8,}$","^\d{8,}$",True,1.0
149,^\d.*$,^\d.*$,True,1.0
150,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
151,^\d{8}$,^\d{8}$,True,1.0
152,^tfhlwp.*,^tfhlwp.*,True,1.0
153,.*iodk$,.*iodk$,True,1.0
154,^\d{5}$,^\d{5}$,True,1.0
155,"^\d{5,7}$","^\d{5,7}$",True,1.0
156,"^\d{2,7}$","^\d{2,7}$",True,1.0
157,^[a-zA-Z]{4}$,^[a-zA-Z]{4}$,True,1.0
158,"^.{1,4}jgndyhqn$","^.{1,4}jgndyhqn$",True,1.0
159,"^\d{1,2}$","^\d{1,2}$",True,1.0
160,"^[a-z]{4,8}$","^[a-z]{4,8}$",True,1.0
161,"^.{5,9}fjtop$","^.{5,9}fjtop$",True,1.0
162,"^\d{4,10}$","^\d{4,10}$",True,1.0
163,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
164,"^\d{1,4}$","^\d{1,4}$",True,1.0
165,^gfzy.*zafysge.*$,^gfzy.*zafysge.*$,True,1.0
166,"^\d{1,5}$","^\d{1,5}$",True,1.0
167,"^\d{8,10}$","^\d{8,10}$",True,1.0
168,^qziqrxkd.*,^qziqrxkd.*,True,1.0
169,\d+,\d+,True,1.0
170,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
171,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
172,"^.{2,8}bgpewolc$","^.{2,8}bgpewolc$",True,1.0
173,^\d{2}$,^\d{2}$,True,1.0
174,^lbr.*nbcauf.*$,^lbr.*nbcauf.*$,True,1.0
175,.*uwko$,.*uwko$,True,1.0
176,"^[a-z]{5,9}$","^[a-z]{5,9}$",True,1.0
177,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
178,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
179,"^[a-zA-Z0-9]{3,4}$","^[a-zA-Z0-9]{3,4}$",True,1.0
180,^.*\.(zip|rar|tar|7z)$,zip|rar|tar|7z$,False,0.6818181818181819
181,"^\d{2,5}$","^\d{2,5}$",True,1.0
182,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06))),^(?=\d{8}$)\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.11917098445595853
183,^cobrgzmq.*gjqntk.*$,^cobrgzmq.*gjqntk.*$,True,1.0
184,.*hetxqwkf$,.*hetxqwkf$,True,1.0
185,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
186,^#[0-9A-Fa-f]{6}$,^#[0-9a-fA-F]{6}$,False,0.7647058823529411
187,^.*file.*$,.*file.*,True,1.0
188,"^\d{5,6}$","^\d{5,6}$",True,1.0
189,\s+,\s+,True,1.0
190,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.18181818181818177
191,^(?=.*bkysxzn)(?=.*cwgvq).*$,^(?=.*bkysxzn)(?=.*cwgvq).*$,True,1.0
192,"^\d{1,12}$","^\d{1,12}$",True,1.0
193,.*lboljmt$,.*lboljmt$,True,1.0
194,"^[a-z]{2,3}$","^[a-z]{2,3}$",True,1.0
195,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
196,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11811023622047245
197,"^\d{1,2}$","^\d{1,2}$",True,1.0
198,"^\d{2,}$","^\d{2,}$",True,1.0
199,"^\d{2,6}$","^\d{2,6}$",True,1.0
200,^[a-zA-Z]{7}$,^[a-zA-Z]{7}$,True,1.0
201,^.*file.*$,.*file.*,True,1.0
202,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.18181818181818177
203,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.12612612612612617
204,^[a-zA-Z]{5}$,^[a-zA-Z]{5}$,True,1.0
205,^DOC_.*$,^DOC_.*$,True,1.0
206,"^\d{6,16}$","^\d{6,16}$",True,1.0
207,"^([a-zA-Z]{2,3}[ ,.!?;:'""…]*){1,2}[a-zA-Z]{2,3}[.!?;:'""…]?$","^([a-zA-Z]{2,3}[ ,.!?;:'""…]*){1,2}[a-zA-Z]{2,3}[.!?;:'""…]?$",True,1.0
208,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
209,^glmiccbl.*,^glmiccbl.*,True,1.0
210,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11764705882352944
211,^qcasyq.*scawmde.*$,^qcasyq.*scawmde.*$,True,1.0
212,"^\d{1,1}$",^\d{1}$,True,1.0
213,"^([a-zA-Z]{1,7}[ ,.!?;:'""…]*){3,4}[a-zA-Z]{1,7}[.!?;:'""…]?$","^([a-zA-Z]{1,7}[ ,.!?;:'""…]*){3,4}[a-zA-Z]{1,7}[.!?;:'""…]?$",True,1.0
214,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
215,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
216,"^[a-zA-Z0-9]{4,8}$","^[a-zA-Z0-9]{4,8}$",True,1.0
217,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
218,.*[a-zA-Z]$,.*[a-zA-Z]$,True,1.0
219,^.*data.*$,.*data.*,True,1.0
220,"^.{0,2}siwxtuvc$","^.{0,2}siwxtuvc$",True,1.0
221,"^\d{4,14}$","^\d{4,14}$",True,1.0
222,"^[A-Z]{4,5}$","^[A-Z]{4,5}$",True,1.0
223,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
224,"^[a-z]{2,4}$","^[a-z]{2,4}$",True,1.0
225,^pchmvvsm.*yuzvmjl.*$,^pchmvvsm.*yuzvmjl.*$,True,1.0
226,"^\d{1,5}$","^\d{1,5}$",True,1.0
227,^\d{7}$,^\d{7}$,True,1.0
228,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11)|05(02|01))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.1728395061728395
229,"^\d{1,4}$","^\d{1,4}$",True,1.0
230,^\d{8}$,^\d{8}$,True,1.0
231,"^\d{7,}$","^\d{7,}$",True,1.0
232,^\d+\.\d+$,^\d+\.\d+$,True,1.0
233,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
234,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11538461538461542
235,"^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){2}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
236,.*[!@#$%^&*()].*,.*[!@#$%^&*()].*,True,1.0
237,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
238,"^\d{7,}$","^\d{7,}$",True,1.0
239,^[^\d]*$,^[^\d]*$,True,1.0
240,"^.{5,10}gtitc$","^.{5,10}gtitc$",True,1.0
241,"^([a-zA-Z]+[ ,.!?;:'""…]*){5}[a-zA-Z]+[.!?;:'""…]?$","^([a-zA-Z]+[ ,.!?;:'""…]*){5}[a-zA-Z]+[.!?;:'""…]?$",True,1.0
242,"^.{4,10}kfwkg$","^.{4,10}kfwkg$",True,1.0
243,"^\d{3,13}$","^\d{3,13}$",True,1.0
244,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03)|05(02|01))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.1333333333333333
245,^rezx.*bmsi.*$,^rezx.*bmsi.*$,True,1.0
246,"^[a-zA-Z0-9]{2,4}$","^[a-zA-Z0-9]{2,4}$",True,1.0
247,"^[A-Z]{1,10}$","^[A-Z]{1,10}$",True,1.0
248,^(?=.*poznqpt)(?=.*uzlsljkw).*$,^(?=.*poznqpt)(?=.*uzlsljkw).*$,True,1.0
249,^DOC_.*$,^DOC_.*,True,1.0
250,.*admn$,.*admn$,True,1.0
251,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.12096774193548387
252,^ftr.*uvteqlvp.*$,^ftr.*uvteqlvp.*$,True,1.0
253,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19))),\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.1298701298701299
254,"^.{4,10}nkidd$","^.{4,10}nkidd$",True,1.0
255,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|09|08|07|06|05|04|03|02|01)|05(02|01)|03(31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14))),^\d{4}(0[1-9]|1[0-2])(0[1-9]|[12]\d|3[01])$,False,0.11834319526627224
256,^USER_.*$,^USER_.*$,True,1.0
257,"^\d{4,10}$","^\d{4,10}$",True,1.0
258,"^[a-zA-Z0-9]{1,6}$","^[a-zA-Z0-9]{1,6}$",True,1.0
259,^(?=.*\d)(?=.*[a-zA-Z]).+$,^(?=.*\d)(?=.*[a-zA-Z]).+$,True,1.0
260,^ksx.*,^ksx.*,True,1.0
261,^\d+\.\d+$,^\d+\.\d+\.\d+$,False,0.6666666666666667
262,"^^(?:[0-9]{1,3}\.){3}[0-9]{1,3}$$","^\b(\d{1,3}\b\.){3}\d{1,3}\b$",False,0.4545454545454546
263,^zhne.*yxqxkhtb.*$,^zhne.*yxqxkhtb.*$,True,1.0
264,^[A-Z][a-zA-Z]*$,^[A-Z][a-zA-Z]*$,True,1.0
265,"^\d{7,9}$","^\d{7,9}$",True,1.0
266,^kyc.*,^kyc.*,True,1.0
267,"^[a-zA-Z0-9]{5,7}$","^[a-zA-Z0-9]{5,7}$",True,1.0
268,(2025(04(30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15)|05(02|01))),^(?=\d{8}$)\d{4}(0[1-9]|1[0-2])(0[1-9]|[12][0-9]|3[01])$,False,0.14492753623188404
